연번,업소명,업태,업소주소
1,옛날소고기국밥,한식,대구광역시 남구 계명1길 8(1층 대명동)
2,스브스브,기타,대구광역시 남구 계명중앙1길 17(1층 대명동)
3,멘센세,일식,대구광역시 남구 계명중앙1길 25(1층 대명동)
4,주다이닝,경양식,대구광역시 남구 계명중앙1길 28(1층 대명동)
5,풍족,식육(숯불구이),대구광역시 남구 계명중앙1길 28(1층 대명동)
6,리얼라이즈(realrise),기타,대구광역시 남구 계명중앙1길 29(대명동)
7,여가네얼큰칼국수,한식,대구광역시 남구 계명중앙1길 29(대명동)
8,초밥집,일식,대구광역시 남구 계명중앙1길 29(대명동)
9,황혼에서새벽까지,기타,대구광역시 남구 계명중앙1길 37(1층 대명동)
10,벽과창식당,한식,대구광역시 남구 계명중앙1길 40(대명동)
11,한사발막걸리,정종/대포집/소주방,대구광역시 남구 계명중앙1길 42(1층 대명동)
12,우리식당,한식,대구광역시 남구 계명중앙1길 46-3(대명동)
13,푸드맘,한식,대구광역시 남구 계명중앙1길 46-5(대명동)
14,우정분식식당,분식,대구광역시 남구 계명중앙1길 46-6(대명동)
15,알코올공장식당,정종/대포집/소주방,대구광역시 남구 계명중앙1길 47(대명동)
16,미중,중국식,대구광역시 남구 계명중앙1길 48(대명동)
17,효명통닭,,대구광역시 남구 고산1길 3(봉덕동)
18,고산골도루묵이야기,식육(숯불구이),대구광역시 남구 고산1길 58(봉덕동)
19,국수명가,분식,대구광역시 남구 고산2길 35-3(1층 봉덕동)
20,산위에서부는바람,기타,대구광역시 남구 고산2길 35-4(1층 봉덕동)
21,콩나물해장국식당,한식,대구광역시 남구 고산2길 5-1(봉덕동)
22,만리장성식당,중국식,대구광역시 남구 골안길 105(대명동)
23,1997석닭발앤찜닭(1997석닭발&찜닭),한식,대구광역시 남구 골안길 159(지하1층 대명동)
24,먹닭,,대구광역시 남구 골안길 19(1층 대명동)
25,두꺼비포차,호프/통닭,대구광역시 남구 골안길 28(대명동)
26,마실가세,한식,대구광역시 남구 골안길 28(대명동)
27,형제반점,중국식,대구광역시 남구 골안길 40(대명동)
28,투데이,기타,대구광역시 남구 골안길 64-2(대명동)
29,대장금식당,한식,대구광역시 남구 골안길 71(1층 대명동)
30,서가네푸드,식육(숯불구이),대구광역시 남구 골안길 72(1층 대명동)
31,옥이네주막촌,정종/대포집/소주방,대구광역시 남구 골안길 89(1층 대명동)
32,관광숯불막창,정종/대포집/소주방,대구광역시 남구 골안길 90(대명동)
33,동궁찜,한식,대구광역시 남구 관문시장1길 12(1층 대명동)
34,고령식당능이버섯토종닭백숙,한식,대구광역시 남구 관문시장1길 12(대명동)
35,안성식당,한식,대구광역시 남구 관문시장1길 12(대명동)
36,혜성식당,한식,대구광역시 남구 관문시장1길 12(대명동)
37,인정칼국수,식육(숯불구이),대구광역시 남구 관문시장1길 15(1층 대명동)
38,토담,한식,대구광역시 남구 관문시장1길 15(1층 대명동)
39,또와또,한식,대구광역시 남구 관문시장1길 56(1층 대명동)
40,현주,한식,대구광역시 남구 관문시장1길 60(대명동)
41,미송찜식당,한식,대구광역시 남구 관문시장1길 69(대명동)
42,종가집곰탕,탕류(보신용),대구광역시 남구 관문시장1길 75(대명동)
43,900가양대창(대명점),식육(숯불구이),대구광역시 남구 관문시장1길 8(대명동)
44,라디오비어,한식,대구광역시 남구 관문시장1길 8(대명동)
45,이모죽집,한식,대구광역시 남구 관문시장2길 30(대명동)
46,밀양식당 2호점,한식,대구광역시 남구 관문시장2길 34(1층 대명동)
47,뚱보식당,한식,대구광역시 남구 관문시장2길 36(대명동)
48,밀양식당,한식,"대구광역시 남구 관문시장2길 43(2열 1,2,3호 대명동)"
49,꿀닭,분식,대구광역시 남구 관문시장2길 6-1(1층 대명동)
50,조가네오뎅떡볶이,분식,대구광역시 남구 관문시장2길 6-1(1층 대명동)
51,할매집식당,한식,대구광역시 남구 관문시장2길 8(대명동)
52,화원식당,한식,대구광역시 남구 관문시장2길 8(대명동)
53,관문먹거리푸짐한집,한식,대구광역시 남구 관문시장3길 10-2(1층 대명동)
54,옛날식당,한식,대구광역시 남구 관문시장3길 31(대명동)
55,불타는청춘찜닭,,대구광역시 남구 관문시장3길 9-1(대명동)
56,영천식당,한식,대구광역시 남구 관문시장4길 2(1층 대명동)
57,관문손칼국수,한식,대구광역시 남구 관문시장4길 24-1(대명동)
58,영동식당,한식,대구광역시 남구 관문시장4길 24-2(대명동)
59,대박이연탄석쇠불고기,정종/대포집/소주방,대구광역시 남구 대경1길 2(대명동)
60,시골집,한식,대구광역시 남구 대경1길 8-2(1층 대명동)
61,태영생막창,정종/대포집/소주방,대구광역시 남구 대경6길 1(대명동)
62,매일반점,중국식,대구광역시 남구 대경6길 9-4(1층 대명동)
63,1990대명,한식,대구광역시 남구 대경7길 12-4(1층 대명동)
64,평양영심이손만두식당,분식,대구광역시 남구 대경길 10(대명동)
65,투가이즈다이닝(twoguysdining),경양식,대구광역시 남구 대경길 130(1층 대명동)
66,행운분식,분식,대구광역시 남구 대경길 148(1층 대명동)
67,크루피자(crewpizza)중남구점,경양식,대구광역시 남구 대경길 156(2층 대명동)
68,통영식당,한식,대구광역시 남구 대경길 186(대명동)
69,일품푸드,김밥(도시락),대구광역시 남구 대경길 190(1층 대명동)
70,동래분식당,한식,대구광역시 남구 대경길 197(1층 대명동)
71,마실,한식,대구광역시 남구 대경길 20(1층 대명동)
72,카페담,기타,대구광역시 남구 대경길 201(1층 대명동)
73,그집코다리와찜닭,한식,대구광역시 남구 대경길 28(1층 대명동)
74,대명회식당,회집,대구광역시 남구 대경길 335(대명동)
75,동아식당,탕류(보신용),대구광역시 남구 대경길 345(1층 대명동)
76,우리막창,식육(숯불구이),대구광역시 남구 대경길 352(1층 대명동)
77,따거짬뽕전문점,중국식,대구광역시 남구 대경길 355-4(대명동)
78,대명순대국,탕류(보신용),대구광역시 남구 대경길 36(대명동)
79,꺽어포차,정종/대포집/소주방,대구광역시 남구 대경길 40(대명동)
80,놋쇠큰사발왕대포,정종/대포집/소주방,대구광역시 남구 대경길 41-1(대명동)
81,대성반점,중국식,대구광역시 남구 대경길 43-1(대명동)
82,서씨회수산,회집,대구광역시 남구 대경길 52(1층 대명동)
83,진미실비식당,정종/대포집/소주방,대구광역시 남구 대경길 6(대명동)
84,삼거리식당,한식,대구광역시 남구 대경길 62-2(1층 대명동)
85,형제반점,중국식,대구광역시 남구 대경길 81(대명동)
86,김상성왕족발,한식,대구광역시 남구 대경길 9(대명동)
87,아빠가차린밥상,한식,대구광역시 남구 대덕로 139(봉덕동)
88,별미전복,한식,대구광역시 남구 대덕로 149(봉덕동)
89,대덕반점,중국식,대구광역시 남구 대덕로 150(1층 102호 봉덕동)
90,대들보,한식,대구광역시 남구 대덕로 157(봉덕동)
91,참바다횟집,회집,대구광역시 남구 대덕로 166(101-1동 103호 봉덕동)
92,다복숯불갈비,식육(숯불구이),대구광역시 남구 대덕로 166(101-1동 105호 봉덕동)
93,싱싱난리부르스5000냥(봉덕점),기타,대구광역시 남구 대덕로 166(101-1동 106호 봉덕동)
94,대포3000,정종/대포집/소주방,"대구광역시 남구 대덕로 166(101-1동 봉덕동, 앞산힐스테이트)"
95,깜부,,"대구광역시 남구 대덕로 166(101-2동 113호 봉덕동, 앞산힐스테이트)"
96,데빠세,분식,"대구광역시 남구 대덕로 166(114호 봉덕동, 힐스테이트상가)"
97,한돈숯불돼지갈비,식육(숯불구이),대구광역시 남구 대덕로 166(봉덕동)
98,오커치킨,,대구광역시 남구 대덕로 171(봉덕동)
99,삼구막창,식육(숯불구이),대구광역시 남구 대덕로 188(1층 봉덕동)
100,아지야,기타,대구광역시 남구 대덕로 197(봉덕동)
101,서민대패,식육(숯불구이),대구광역시 남구 대덕로 201(봉덕동)
102,갑이회수산,회집,대구광역시 남구 대덕로 203(봉덕동)
103,실비포차,기타,대구광역시 남구 대덕로33길 19-4(1층 봉덕동)
104,미락원,중국식,대구광역시 남구 대덕로33길 23(1층 봉덕동)
105,돼지천만마리,한식,대구광역시 남구 대덕로36길 52(봉덕동)
106,장수삼계탕,탕류(보신용),대구광역시 남구 대덕로38길 50(봉덕동)
107,덕원식당,한식,대구광역시 남구 대덕로40길 120-2(봉덕동)
108,우미가식당,한식,대구광역시 남구 대덕로40길 2(봉덕동)
109,한우물뚝배기식당,탕류(보신용),대구광역시 남구 대덕로40길 38(1층 봉덕동)
110,정통한양족발식당,한식,대구광역시 남구 대덕로40길 48(봉덕동)
111,그늘집,한식,대구광역시 남구 대덕로40길 56(봉덕동)
112,카페엘마르,,대구광역시 남구 대덕로40길 59(봉덕동)
113,장어와미꾸라지,한식,대구광역시 남구 대덕로40길 80-10(봉덕동)
114,국가대표,식육(숯불구이),대구광역시 남구 대덕로40길 87(1층 봉덕동)
115,백두산식당,한식,대구광역시 남구 대륙3길 52(1층 대명동)
116,공주식당,탕류(보신용),대구광역시 남구 대명남2길 100-20(1층 대명동)
117,홍두깨,한식,대구광역시 남구 대명남2길 100-8(대명동)
118,뚠뚠이수산,회집,대구광역시 남구 대명남2길 85(1층 대명동)
119,벌떼치킨,호프/통닭,대구광역시 남구 대명남2길 85(대명동)
120,즐거운집,한식,대구광역시 남구 대명남2길 97(대명동)
121,저잣거리,한식,대구광역시 남구 대명남로 1(대명동)
122,영천식당,한식,대구광역시 남구 대명남로 117-1(대명동)
123,홀릭바베 앞산점,기타,대구광역시 남구 대명남로 120(1층 대명동)
124,복만네,한식,대구광역시 남구 대명남로 124(1층 대명동)
125,옥이네,한식,대구광역시 남구 대명남로 13(대명동)
126,허가네생뼈해장국,한식,대구광역시 남구 대명남로 139(1층 대명동)
127,장미식당치킨,분식,대구광역시 남구 대명남로 14(대명동)
128,와촌손칼국시본점,한식,대구광역시 남구 대명남로 141(1층 대명동)
129,남경앞산그리운집,한식,대구광역시 남구 대명남로 147-4(지하1층 대명동)
130,일송찜마을,한식,대구광역시 남구 대명남로 15-2(대명동)
131,파스타민,경양식,대구광역시 남구 대명남로 157(대명동)
132,윤스식당앞산점,한식,대구광역시 남구 대명남로 159-1(1층 대명동)
133,한결수산,일식,대구광역시 남구 대명남로 159-1(1층 대명동)
134,로벤익스프레스,경양식,대구광역시 남구 대명남로 159-2(1층 대명동)
135,수니짬뽕,분식,대구광역시 남구 대명남로 159-2(1층 대명동)
136,아이리스(IRIS),,대구광역시 남구 대명남로 170(대명동)
137,마리아쥬커피,,대구광역시 남구 대명남로 174-2(대명동)
138,후르츠랩,기타,대구광역시 남구 대명남로 178-1(1층 대명동)
139,목난,중국식,대구광역시 남구 대명남로 180-1(1층 대명동)
